,0
0,1975-01-01 12:00:00
1,1975-01-02 12:00:00
2,1975-01-03 12:00:00
3,1975-01-04 12:00:00
4,1975-01-05 12:00:00
5,1975-01-06 12:00:00
6,1975-01-07 12:00:00
7,1975-01-08 12:00:00
8,1975-01-09 12:00:00
9,1975-01-10 12:00:00
10,1975-01-11 12:00:00
11,1975-01-12 12:00:00
12,1975-01-13 12:00:00
13,1975-01-14 12:00:00
14,1975-01-15 12:00:00
15,1975-01-16 12:00:00
16,1975-01-17 12:00:00
17,1975-01-18 12:00:00
18,1975-01-19 12:00:00
19,1975-01-20 12:00:00
20,1975-01-21 12:00:00
21,1975-01-22 12:00:00
22,1975-01-23 12:00:00
23,1975-01-24 12:00:00
24,1975-01-25 12:00:00
25,1975-01-26 12:00:00
26,1975-01-27 12:00:00
27,1975-01-28 12:00:00
28,1975-01-29 12:00:00
29,1975-01-30 12:00:00
30,1975-01-31 12:00:00
31,1975-02-01 12:00:00
32,1975-02-02 12:00:00
33,1975-02-03 12:00:00
34,1975-02-04 12:00:00
35,1975-02-05 12:00:00
36,1975-02-06 12:00:00
37,1975-02-07 12:00:00
38,1975-02-08 12:00:00
39,1975-02-09 12:00:00
40,1975-02-10 12:00:00
41,1975-02-11 12:00:00
42,1975-02-12 12:00:00
43,1975-02-13 12:00:00
44,1975-02-14 12:00:00
45,1975-02-15 12:00:00
46,1975-02-16 12:00:00
47,1975-02-17 12:00:00
48,1975-02-18 12:00:00
49,1975-02-19 12:00:00
50,1975-02-20 12:00:00
51,1975-02-21 12:00:00
52,1975-02-22 12:00:00
53,1975-02-23 12:00:00
54,1975-02-24 12:00:00
55,1975-02-25 12:00:00
56,1975-02-26 12:00:00
57,1975-02-27 12:00:00
58,1975-02-28 12:00:00
59,1975-03-01 12:00:00
60,1975-03-02 12:00:00
61,1975-03-03 12:00:00
62,1975-03-04 12:00:00
63,1975-03-05 12:00:00
64,1975-03-06 12:00:00
65,1975-03-07 12:00:00
66,1975-03-08 12:00:00
67,1975-03-09 12:00:00
68,1975-03-10 12:00:00
69,1975-03-11 12:00:00
70,1975-03-12 12:00:00
71,1975-03-13 12:00:00
72,1975-03-14 12:00:00
73,1975-03-15 12:00:00
74,1975-03-16 12:00:00
75,1975-03-17 12:00:00
76,1975-03-18 12:00:00
77,1975-03-19 12:00:00
78,1975-03-20 12:00:00
79,1975-03-21 12:00:00
80,1975-03-22 12:00:00
81,1975-03-23 12:00:00
82,1975-03-24 12:00:00
83,1975-03-25 12:00:00
84,1975-03-26 12:00:00
85,1975-03-27 12:00:00
86,1975-03-28 12:00:00
87,1975-03-29 12:00:00
88,1975-03-30 12:00:00
89,1975-03-31 12:00:00
90,1975-04-01 12:00:00
91,1975-04-02 12:00:00
92,1975-04-03 12:00:00
93,1975-04-04 12:00:00
94,1975-04-05 12:00:00
95,1975-04-06 12:00:00
96,1975-04-07 12:00:00
97,1975-04-08 12:00:00
98,1975-04-09 12:00:00
99,1975-04-10 12:00:00
100,1975-04-11 12:00:00
101,1975-04-12 12:00:00
102,1975-04-13 12:00:00
103,1975-04-14 12:00:00
104,1975-04-15 12:00:00
105,1975-04-16 12:00:00
106,1975-04-17 12:00:00
107,1975-04-18 12:00:00
108,1975-04-19 12:00:00
109,1975-04-20 12:00:00
110,1975-04-21 12:00:00
111,1975-04-22 12:00:00
112,1975-04-23 12:00:00
113,1975-04-24 12:00:00
114,1975-04-25 12:00:00
115,1975-04-26 12:00:00
116,1975-04-27 12:00:00
117,1975-04-28 12:00:00
118,1975-04-29 12:00:00
119,1975-04-30 12:00:00
120,1975-05-01 12:00:00
121,1975-05-02 12:00:00
122,1975-05-03 12:00:00
123,1975-05-04 12:00:00
124,1975-05-05 12:00:00
125,1975-05-06 12:00:00
126,1975-05-07 12:00:00
127,1975-05-08 12:00:00
128,1975-05-09 12:00:00
129,1975-05-10 12:00:00
130,1975-05-11 12:00:00
131,1975-05-12 12:00:00
132,1975-05-13 12:00:00
133,1975-05-14 12:00:00
134,1975-05-15 12:00:00
135,1975-05-16 12:00:00
136,1975-05-17 12:00:00
137,1975-05-18 12:00:00
138,1975-05-19 12:00:00
139,1975-05-20 12:00:00
140,1975-05-21 12:00:00
141,1975-05-22 12:00:00
142,1975-05-23 12:00:00
143,1975-05-24 12:00:00
144,1975-05-25 12:00:00
145,1975-05-26 12:00:00
146,1975-05-27 12:00:00
147,1975-05-28 12:00:00
148,1975-05-29 12:00:00
149,1975-05-30 12:00:00
150,1975-05-31 12:00:00
151,1975-06-01 12:00:00
152,1975-06-02 12:00:00
153,1975-06-03 12:00:00
154,1975-06-04 12:00:00
155,1975-06-05 12:00:00
156,1975-06-06 12:00:00
157,1975-06-07 12:00:00
158,1975-06-08 12:00:00
159,1975-06-09 12:00:00
160,1975-06-10 12:00:00
161,1975-06-11 12:00:00
162,1975-06-12 12:00:00
163,1975-06-13 12:00:00
164,1975-06-14 12:00:00
165,1975-06-15 12:00:00
166,1975-06-16 12:00:00
167,1975-06-17 12:00:00
168,1975-06-18 12:00:00
169,1975-06-19 12:00:00
170,1975-06-20 12:00:00
171,1975-06-21 12:00:00
172,1975-06-22 12:00:00
173,1975-06-23 12:00:00
174,1975-06-24 12:00:00
175,1975-06-25 12:00:00
176,1975-06-26 12:00:00
177,1975-06-27 12:00:00
178,1975-06-28 12:00:00
179,1975-06-29 12:00:00
180,1975-06-30 12:00:00
181,1975-07-01 12:00:00
182,1975-07-02 12:00:00
183,1975-07-03 12:00:00
184,1975-07-04 12:00:00
185,1975-07-05 12:00:00
186,1975-07-06 12:00:00
187,1975-07-07 12:00:00
188,1975-07-08 12:00:00
189,1975-07-09 12:00:00
190,1975-07-10 12:00:00
191,1975-07-11 12:00:00
192,1975-07-12 12:00:00
193,1975-07-13 12:00:00
194,1975-07-14 12:00:00
195,1975-07-15 12:00:00
196,1975-07-16 12:00:00
197,1975-07-17 12:00:00
198,1975-07-18 12:00:00
199,1975-07-19 12:00:00
200,1975-07-20 12:00:00
201,1975-07-21 12:00:00
202,1975-07-22 12:00:00
203,1975-07-23 12:00:00
204,1975-07-24 12:00:00
205,1975-07-25 12:00:00
206,1975-07-26 12:00:00
207,1975-07-27 12:00:00
208,1975-07-28 12:00:00
209,1975-07-29 12:00:00
210,1975-07-30 12:00:00
211,1975-07-31 12:00:00
